name,ratings_average,ratings_count
Unico,4.7,45140
Sauternes,4.7,44126
Special Selection Cabernet Sauvignon,4.7,41236
Pomerol,4.7,32157
Grange,4.7,24356
Cabernet Sauvignon,4.6,157944
Brut Champagne,4.6,146377
Sassicaia,4.6,107646
Opus One,4.6,77053
Pauillac (Premier Grand Cru Classé),4.6,73615
